system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
1018,0,445.0,727.0,708.0,2665.0,65535.0,361.0,580.0,578.0,2892.0,65535.0,"{""type"":""Point"",""coordinates"":[37.707689109776894,49.66440367663213]}"
1021,3,653.0,933.0,1279.0,2765.0,65535.0,777.0,1032.0,1510.0,2869.0,65535.0,"{""type"":""Point"",""coordinates"":[36.63031182639895,47.34800024526878]}"
1022,1,671.0,971.0,1416.0,2145.0,65535.0,644.0,932.0,1392.0,1954.0,65535.0,"{""type"":""Point"",""coordinates"":[33.874122350077535,45.695876402005354]}"
1024,4,746.0,1010.0,1290.0,2499.0,65535.0,423.0,760.0,648.0,2907.0,65535.0,"{""type"":""Point"",""coordinates"":[24.796027765993912,49.34516094631934]}"
1035,3,1021.0,1429.0,1995.0,3727.0,65535.0,734.0,934.0,1136.0,2564.0,65535.0,"{""type"":""Point"",""coordinates"":[30.55249885249763,47.92087028140563]}"
1036,2,1242.0,1795.0,2621.0,3978.0,65535.0,840.0,1140.0,1345.0,3186.0,65535.0,"{""type"":""Point"",""coordinates"":[29.311601883913806,47.484956733356526]}"
1056,4,698.0,1024.0,1446.0,2427.0,65535.0,674.0,952.0,1292.0,2208.0,65535.0,"{""type"":""Point"",""coordinates"":[30.165326830248457,46.2514518119526]}"
1058,3,612.0,941.0,1207.0,3190.0,65535.0,458.0,715.0,777.0,2891.0,65535.0,"{""type"":""Point"",""coordinates"":[34.085893015980915,45.05108057912138]}"
1066,4,678.0,964.0,1276.0,2354.0,65535.0,576.0,831.0,944.0,2290.0,65535.0,"{""type"":""Point"",""coordinates"":[37.386090418013325,47.05456292202681]}"
1072,2,544.0,820.0,828.0,2950.0,65535.0,525.0,749.0,770.0,3031.0,65535.0,"{""type"":""Point"",""coordinates"":[35.0936923983028,47.75616817482841]}"
1081,3,769.0,1119.0,1620.0,2558.0,65535.0,871.0,1154.0,1613.0,2508.0,65535.0,"{""type"":""Point"",""coordinates"":[33.59137527237683,46.38528583925891]}"
1085,3,741.0,949.0,1313.0,2098.0,65535.0,700.0,939.0,1287.0,2221.0,65535.0,"{""type"":""Point"",""coordinates"":[35.064579449024826,48.263491646058824]}"
1087,2,480.0,627.0,822.0,1628.0,65535.0,559.0,728.0,891.0,1878.0,65535.0,"{""type"":""Point"",""coordinates"":[29.2724984278701,49.979444202664865]}"
1090,3,449.0,633.0,702.0,2063.0,65535.0,411.0,583.0,690.0,1418.0,65535.0,"{""type"":""Point"",""coordinates"":[30.157997713436195,46.7496128260959]}"
1095,3,578.0,728.0,923.0,1535.0,65535.0,660.0,868.0,1101.0,1853.0,65535.0,"{""type"":""Point"",""coordinates"":[39.93592880201911,49.427775418377706]}"
1120,2,1149.0,1578.0,2177.0,3351.0,65535.0,890.0,1123.0,1583.0,2327.0,65535.0,"{""type"":""Point"",""coordinates"":[33.11466365599134,47.71634440227913]}"
1124,3,506.0,702.0,983.0,1960.0,65535.0,477.0,621.0,878.0,1635.0,65535.0,"{""type"":""Point"",""coordinates"":[32.362315851914126,51.53889694407635]}"
1136,2,813.0,1117.0,1513.0,2871.0,65535.0,458.0,596.0,904.0,1586.0,65535.0,"{""type"":""Point"",""coordinates"":[36.21033144380455,47.11557539824061]}"
1137,2,681.0,934.0,1385.0,2537.0,65535.0,745.0,995.0,1405.0,2339.0,65535.0,"{""type"":""Point"",""coordinates"":[34.16753256922046,47.41122536243166]}"
1147,1,395.0,434.0,574.0,910.0,65535.0,663.0,795.0,1132.0,1480.0,65535.0,"{""type"":""Point"",""coordinates"":[34.37888942107939,46.86967551132074]}"
1151,3,768.0,1068.0,1437.0,2786.0,65535.0,407.0,647.0,632.0,2522.0,65535.0,"{""type"":""Point"",""coordinates"":[24.657824402463753,49.71590880760705]}"
1156,1,896.0,1179.0,1670.0,2592.0,65535.0,808.0,1039.0,1427.0,2200.0,65535.0,"{""type"":""Point"",""coordinates"":[32.36734585918059,47.32002008223279]}"
1159,4,871.0,1228.0,1625.0,2835.0,65535.0,848.0,1175.0,1607.0,2781.0,65535.0,"{""type"":""Point"",""coordinates"":[39.32266602839793,48.869624025018155]}"
1165,0,550.0,700.0,938.0,1511.0,65535.0,545.0,709.0,952.0,1631.0,65535.0,"{""type"":""Point"",""coordinates"":[39.38407307290018,49.022866955626384]}"
1166,4,639.0,1022.0,1264.0,2844.0,65535.0,485.0,776.0,807.0,2937.0,65535.0,"{""type"":""Point"",""coordinates"":[25.002387847738515,50.83416571191323]}"
1167,2,825.0,1192.0,1665.0,2794.0,65535.0,745.0,1012.0,1434.0,2251.0,65535.0,"{""type"":""Point"",""coordinates"":[33.56080157319705,46.57177763886993]}"
1168,0,395.0,641.0,883.0,2306.0,65535.0,584.0,813.0,967.0,2126.0,65535.0,"{""type"":""Point"",""coordinates"":[27.297004873133684,50.44724595581386]}"
1174,2,1095.0,1527.0,2261.0,3381.0,65535.0,701.0,922.0,1239.0,2075.0,65535.0,"{""type"":""Point"",""coordinates"":[31.74224827407648,47.14075203669387]}"
1177,2,773.0,981.0,1275.0,2165.0,65535.0,592.0,829.0,960.0,2706.0,65535.0,"{""type"":""Point"",""coordinates"":[36.70541121563381,48.45669409558216]}"
1185,2,860.0,1128.0,1560.0,2305.0,65535.0,857.0,1081.0,1512.0,2265.0,65535.0,"{""type"":""Point"",""coordinates"":[32.30411275293026,47.31166174716182]}"
1189,2,555.0,702.0,919.0,1507.0,65535.0,455.0,533.0,690.0,1489.0,65535.0,"{""type"":""Point"",""coordinates"":[29.00111189966182,48.046919495284904]}"
1195,2,744.0,1114.0,1496.0,2964.0,65535.0,415.0,428.0,542.0,833.0,65535.0,"{""type"":""Point"",""coordinates"":[36.442581681841475,47.121382371451006]}"
1200,5,397.0,593.0,762.0,1577.0,65535.0,877.0,1298.0,1835.0,3184.0,65535.0,"{""type"":""Point"",""coordinates"":[37.437366974830844,50.26388602595891]}"
1208,3,932.0,1305.0,1761.0,2808.0,65535.0,550.0,645.0,873.0,1511.0,65535.0,"{""type"":""Point"",""coordinates"":[31.089156210050888,47.51094954823536]}"
1218,1,669.0,831.0,1117.0,1855.0,65535.0,474.0,565.0,756.0,1359.0,65535.0,"{""type"":""Point"",""coordinates"":[31.901835126105436,47.70296556073314]}"
1219,2,967.0,1350.0,1938.0,2605.0,65535.0,1017.0,1438.0,2015.0,3034.0,65535.0,"{""type"":""Point"",""coordinates"":[34.244583207775136,45.90981129024805]}"
1233,3,922.0,1296.0,1720.0,3144.0,65535.0,671.0,1024.0,1240.0,2897.0,65535.0,"{""type"":""Point"",""coordinates"":[24.263507779351933,49.367783976451435]}"
1242,5,540.0,651.0,925.0,1705.0,65535.0,984.0,1268.0,1723.0,2614.0,65535.0,"{""type"":""Point"",""coordinates"":[35.734980244906595,49.03541703194756]}"
1252,0,579.0,832.0,1262.0,2310.0,65535.0,582.0,847.0,1105.0,2243.0,65535.0,"{""type"":""Point"",""coordinates"":[27.96417015060002,50.15007759719323]}"
1254,2,696.0,1082.0,1363.0,2783.0,65535.0,641.0,858.0,1157.0,2274.0,65535.0,"{""type"":""Point"",""coordinates"":[32.788033474606344,47.99740759724445]}"
1256,2,1074.0,1570.0,2328.0,3657.0,65535.0,425.0,393.0,586.0,699.0,65535.0,"{""type"":""Point"",""coordinates"":[36.343939889703314,46.97233806119265]}"
1268,0,596.0,823.0,1062.0,2200.0,65535.0,555.0,886.0,831.0,2724.0,65535.0,"{""type"":""Point"",""coordinates"":[30.782519617682006,47.41298360125561]}"
1280,0,439.0,612.0,729.0,1753.0,65535.0,437.0,605.0,679.0,1913.0,65535.0,"{""type"":""Point"",""coordinates"":[37.021558694932224,49.623091600933414]}"
1289,2,554.0,727.0,1067.0,1923.0,65535.0,623.0,774.0,1043.0,1659.0,65535.0,"{""type"":""Point"",""coordinates"":[35.9018944001404,47.60691231238507]}"
1290,3,953.0,1467.0,2074.0,3278.0,65535.0,986.0,1426.0,1982.0,2990.0,65535.0,"{""type"":""Point"",""coordinates"":[39.68181618507874,48.09227710188336]}"
1292,3,430.0,579.0,754.0,1616.0,65535.0,553.0,895.0,997.0,3400.0,65535.0,"{""type"":""Point"",""coordinates"":[34.00925197863499,50.26697796012871]}"
1296,3,916.0,1122.0,1454.0,2574.0,65535.0,598.0,857.0,940.0,2364.0,65535.0,"{""type"":""Point"",""coordinates"":[28.956912313372918,49.035521338547234]}"
1303,2,421.0,505.0,681.0,1472.0,65535.0,537.0,639.0,839.0,1622.0,65535.0,"{""type"":""Point"",""coordinates"":[28.732556013782883,48.35295608273111]}"
1313,4,712.0,924.0,1266.0,2252.0,65535.0,605.0,922.0,864.0,2815.0,65535.0,"{""type"":""Point"",""coordinates"":[25.89329570381448,49.495102397330676]}"
1325,1,667.0,954.0,1208.0,2616.0,65535.0,572.0,745.0,771.0,2219.0,65535.0,"{""type"":""Point"",""coordinates"":[28.436889952498333,49.15133550783418]}"
1345,3,802.0,1158.0,1722.0,3159.0,65535.0,865.0,1240.0,1611.0,3019.0,65535.0,"{""type"":""Point"",""coordinates"":[26.47036933492332,48.62218985289466]}"
1352,1,619.0,809.0,1107.0,1808.0,65535.0,675.0,871.0,1192.0,1929.0,65535.0,"{""type"":""Point"",""coordinates"":[34.119914238838376,46.528491412483646]}"
1372,3,921.0,1321.0,1765.0,3292.0,65535.0,491.0,807.0,737.0,2819.0,65535.0,"{""type"":""Point"",""coordinates"":[28.020290551301095,49.01521551189345]}"
1376,1,869.0,1348.0,1910.0,3274.0,65535.0,697.0,950.0,1219.0,2546.0,65535.0,"{""type"":""Point"",""coordinates"":[33.52455870339916,47.21607508633187]}"
1378,2,493.0,744.0,827.0,2384.0,65535.0,342.0,513.0,503.0,2076.0,65535.0,"{""type"":""Point"",""coordinates"":[29.610607255171676,50.10280090372244]}"
